scenario,label,rho_bench,rho_bench_std,gamma_bench,gamma_bench_std,rho_break_mean,rho_break_std,gamma_break_mean,gamma_break_std,rho_reached_frac,gamma_reached_frac,rho_robust_frac,gamma_robust_frac,paper_rho,paper_gamma
both_robust,"weak covariate, weak U",0.019241943541462626,0.0034635816233740645,1.2527112522772303,0.03084586911533798,1.0,0.0,4.25606099749448,0.09437553159417304,0.0,1.0,1.0,1.0,True,True
rho_robust_gamma_not,rare strong covariate,0.08332286681324104,0.008138084397120547,4.209150213723509,0.3250645991368022,1.0,0.0,2.5228833427324844,0.05406991855341506,0.0,1.0,1.0,0.0,True,False
gamma_robust_rho_not,common moderate covariate,0.11541880616657568,0.009486292480628737,1.6938464954241859,0.04551505389808329,0.08232561531013143,0.009238613649922522,1.7877476637194516,0.061072792134757026,1.0,1.0,0.0,0.8333333333333334,False,True
both_not_robust,"strong covariate, strong U",0.20206890110494277,0.011106983533194368,2.094403287502015,0.07352868282831852,0.11133758304564077,0.050054608446922604,1.4764798807346962,0.04198044267591626,1.0,1.0,0.16666666666666666,0.0,False,False
